epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4166.37,0.56787,0.42713,0.91267,0.90603,0.89364,0.94603,0.84649,0.55166,0.42258,0.94954,0.002674,0.002674,0.002674
76,4221.89,0.56155,0.42433,0.90941,0.91425,0.88794,0.94598,0.84656,0.55129,0.4229,0.94935,0.002575,0.002575,0.002575
77,4277.43,0.56415,0.42683,0.91057,0.91523,0.88764,0.94616,0.84689,0.55113,0.42259,0.94921,0.002476,0.002476,0.002476
78,4332.84,0.55758,0.41854,0.90702,0.90851,0.89433,0.94638,0.84677,0.55096,0.42156,0.94928,0.002377,0.002377,0.002377
79,4387.78,0.56116,0.42042,0.91035,0.91,0.89243,0.94651,0.8471,0.55091,0.42145,0.94956,0.002278,0.002278,0.002278
80,4442.44,0.55122,0.41366,0.90548,0.91038,0.89305,0.94638,0.84719,0.55062,0.42107,0.94957,0.002179,0.002179,0.002179
81,4497.15,0.55273,0.41316,0.90877,0.9112,0.89379,0.94629,0.84745,0.55037,0.42082,0.94948,0.00208,0.00208,0.00208
82,4552.02,0.5543,0.41469,0.90871,0.91083,0.8933,0.94624,0.84754,0.54975,0.42017,0.94934,0.001981,0.001981,0.001981
83,4607.68,0.55003,0.41054,0.90845,0.90976,0.89492,0.94623,0.8476,0.54914,0.42007,0.94907,0.001882,0.001882,0.001882
84,4663.2,0.54515,0.40769,0.90415,0.91076,0.89451,0.94624,0.84767,0.54837,0.41968,0.94879,0.001783,0.001783,0.001783
85,4718.23,0.54896,0.40769,0.90703,0.90941,0.89419,0.94629,0.8476,0.54793,0.41947,0.94871,0.001684,0.001684,0.001684
86,4773.06,0.53836,0.39903,0.90482,0.90865,0.89668,0.94624,0.84775,0.54762,0.41895,0.94851,0.001585,0.001585,0.001585
87,4828.57,0.53969,0.40139,0.9035,0.90785,0.89637,0.946,0.84787,0.54735,0.4187,0.94829,0.001486,0.001486,0.001486
88,4883.32,0.53157,0.39482,0.90103,0.90717,0.8958,0.94589,0.84799,0.54688,0.41902,0.94784,0.001387,0.001387,0.001387
89,4938.71,0.53514,0.39762,0.90398,0.90862,0.89449,0.94588,0.84804,0.54654,0.41903,0.94767,0.001288,0.001288,0.001288
90,4994.36,0.5336,0.39568,0.89953,0.90971,0.89354,0.94588,0.84827,0.54631,0.41882,0.94761,0.001189,0.001189,0.001189
91,5049.44,0.49217,0.35857,0.89091,0.91055,0.89245,0.94585,0.84836,0.54629,0.41867,0.94755,0.00109,0.00109,0.00109
92,5104.72,0.48704,0.35361,0.88927,0.9115,0.89182,0.94579,0.84855,0.5462,0.41847,0.9476,0.000991,0.000991,0.000991
93,5159.16,0.48435,0.35,0.88942,0.91258,0.89083,0.94574,0.84876,0.54584,0.41856,0.94747,0.000892,0.000892,0.000892
94,5213.99,0.48035,0.34495,0.89006,0.91735,0.88763,0.94588,0.84872,0.54558,0.41839,0.94744,0.000793,0.000793,0.000793
95,5268.59,0.47338,0.34166,0.88705,0.91747,0.88762,0.94583,0.8489,0.5453,0.41816,0.94733,0.000694,0.000694,0.000694
96,5323.16,0.47175,0.33711,0.88584,0.91407,0.88978,0.94571,0.84902,0.54477,0.41781,0.94714,0.000595,0.000595,0.000595
97,5378.19,0.47036,0.33587,0.88446,0.91465,0.88958,0.94556,0.84887,0.54451,0.41774,0.94712,0.000496,0.000496,0.000496
98,5433.36,0.46663,0.33349,0.88449,0.91478,0.89033,0.94561,0.84908,0.54448,0.4177,0.94715,0.000397,0.000397,0.000397
99,5488.72,0.4634,0.33023,0.88132,0.91608,0.88918,0.9456,0.84887,0.54431,0.41779,0.94719,0.000298,0.000298,0.000298
100,5543.98,0.45998,0.32751,0.88181,0.91641,0.88943,0.94544,0.84881,0.54426,0.41778,0.94725,0.000199,0.000199,0.000199
